FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
322,d40009e2-e582-4ba8-870a-fcb52ad1ac28,5117,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Okpaugwu Power Distribution Point,8.12442666695716,6.33700666702413
323,607ae503-a99f-46f1-806a-2b4e0227b0d5,5116,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Unnamed Transformer 3,8.12884500019663,6.33629666665792
324,60cf82de-9e12-4dc8-90db-21abec5e3fc0,5115,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Azugwu Transformer,8.12814333294853,6.32959499970951
325,e94ae6d1-2912-418c-a0a6-7590c52cb11e,5114,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Unnamed Transformer 1,8.1352066667543,6.33581499966255
326,ee75f473-9b46-435d-af03-1f6f88f78b4c,5113,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ndiebor 1 / Ndiebor 2,EBSUGB14,Ebonyi,11004,Ebonyi,EB,GRID,Ohatekwe Transformer,8.05913833256807,6.37070499973601
327,e4e02bf6-22f3-4893-89a5-9e82832d3b40,5112,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB,GRID,Kpiri Kpiri Electricity Substation,8.09963500035502,6.33194166727418
328,e1e98433-576e-42b7-985a-580a52e49006,5111,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB,GRID,Kpiri Kpiri Police Station Transformer,8.09676666664842,6.33364000008601
329,530c2413-2e3c-4505-b696-4258f23988bc,5110,2/2/2018 12:00:00 AM,racheal.olarewaju, ,New Layout,EBSUGB16,Ebonyi,11004,Ebonyi,EB,GRID,Omege Junction Transformer,8.10886499972003,6.33979499973947
330,698695d4-20f7-458c-903f-1934213f8646,5109,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Egwudinegu 1,EBSUGB07,Ebonyi,11004,Ebonyi,EB,GRID,Azuojo Transformer 200kva,8.11500166669362,6.52999333332571
331,f6de04fc-cca9-47cb-bc58-bad12ee97f88,5105,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB,GRID,Ogbaga Road Transformer,8.09975833338041,6.3338600003388
