FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
6645,0b7d3013-f496-4f7c-b026-0a0d6d0e0340,28370,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,In Use,GRID,Gari Industry,3.68048833307017,7.83776333291155
6646,e639bfbd-a393-4d6a-b52e-66312fda779f,28369,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Ogogo l,3.98810166735814,7.7303283328863
6647,af6d9323-a296-4bc5-9057-6e4186583951,28368,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Agbede Factory,3.99488166705532,7.72420833304818
6648,dc5d55ac-22ce-44f6-9229-ea44c1df97a8,28367,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Aba Olobi,3.99910166740807,7.72744500028659
6649,b0a3285e-095b-45fe-af75-6f8eafb7a110,28366,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Iseke Factory,3.99977333327274,7.72758666689123
6650,742aa71f-712a-4e62-9edc-723e2a5f1d5a,28365,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Aba Sulu Factory,3.99737999988713,7.73108666731588
6651,14b83e07-2507-4337-8acf-62b1d2b788e5,28364,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akinmorin,OYSAFO01,Afijio,31001,Oyo,OY,In Use,GRID,Aba Alagbede,4.00294833309914,7.7309700000655
6652,9ef9e867-8d79-462b-93ad-aec563dbd44c,28363,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Classic Aluminium Products Limited,3.85274000005103,7.36656500017466
6653,381a0d5b-2973-49e3-be9f-1f7f991a4943,28362,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,P and G Company Limited,3.85496169962278,7.36621829983471
6654,a5050041-4bff-42a7-aa33-3c3a7478b4ff,28361,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Saro Company Limited,3.85474830039379,7.36684169998449
6655,b878a854-84f1-4da3-b541-17c3becf9d4c,28360,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Nigerite Limited,3.85442169990159,7.36151329959915
6656,e178d4e9-5e4b-4b28-b3ab-03d0e337a3bf,28359,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Egbeda,OYSEGA04,Egbeda,31005,Oyo,OY,In Use,GRID,Ajao Deluxe Facility Erunmu Road Ibadan,4.05275666678676,7.38496499973502
6657,db738613-8bfa-45e9-881b-808a73082515,28358,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Asipa 3,OYSATA09,Atiba,31003,Oyo,OY,In Use,GRID,Aigbin Gari Processing Factory,3.99188666743578,8.11395000039226
6658,918e40f7-3527-461e-b35c-af7033bc7c00,28357,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ahorodada,OYSOIE02,Ori Ire,31028,Oyo,OY,In Use,GRID,Cassava Factories,4.01487166709381,8.04230333323227
6659,e550c6a7-487e-464e-ba48-dfa12f5110ae,28356,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Zumal,3.84563999998608,7.35869999990513
