FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,category,alt_name,source,poi_name,x,y
2237,8ad08fbf-2d15-4eef-a20a-578aabf75c25,14869,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,Local Government, ,GRID,Internally Generated Revenue Office,4.47838000043674,7.83919666699262
2238,94f892a2-1d5d-46ed-9033-bd1099306aa4,14870,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,State Government, ,GRID,Irepodun LGA Secretariat,4.47861666692569,7.83903000013447
2239,f452c393-e995-451b-bd3a-47c50f1da146,14873,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Modakeke 2,OSSIET04,Ife East,30012,Osun,OS,State Government, ,GRID,Water Corporation,4.53617500007624,7.48867499975148
2240,2e853919-408d-43d9-82ed-4f6098a16a87,14878,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Modakeke 2,OSSIET04,Ife East,30012,Osun,OS,State Government, ,GRID,Ministry Of Agriculture And Food Security,4.53953666678382,7.47411500010719
2241,7762411e-4046-4657-b37b-9afd8624f2fa,14887,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke-Afo,OSSIDN10,Ifelodun,30016,Osun,OS,Federal Government, ,GRID,Federal Road Safety Corps,4.65370833267349,7.90964666656043
2242,4aeccf27-957a-4195-bcb7-6c970390657e,14888,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke-Afo,OSSIDN10,Ifelodun,30016,Osun,OS,Local Government, ,GRID,Ifelodun Local Government Secretariat,4.6541166671505,7.90884666743978
2243,49718987-d9ed-4a68-adbd-08a15e250330,14889,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke-Afo,OSSIDN10,Ifelodun,30016,Osun,OS,Federal Government, ,GRID,INEC Office,4.65116999979568,7.90967000037028
2244,523b943a-2817-4092-a6f3-d2e8db94447f,14892,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke-Ooye,OSSIAE09,Ilesha East,30018,Osun,OS,Local Government, ,GRID,Irojo Community Building,4.75288333309942,7.60792333319534
2245,2c3d1f94-bdd1-4fe4-b197-6548a4eaf9bb,14897,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Okerewe 3,OSSIET09,Ife East,30012,Osun,OS,Local Government, ,GRID,Ife Ooye Local Council Developement Area,4.55885333271516,7.44111166706983
2246,90c5a932-c453-45ab-9491-c52af24a980e,14898,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Faforiji Building,4.55091499992733,7.79192000040774
2247,acca4259-9dbd-4433-9f3c-d8fea7c145e1,14899,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Oyinlola Building,4.55112166683153,7.79194499976199
2248,0382d7f9-e40f-4023-b650-c6d90fbfcd6a,14901,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,NEPA Quarters,4.54968333341913,7.79109666657797
2249,d34cbda6-5f18-48d3-91c7-229be4192d36,14902,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Education Quarters,4.54806166691247,7.79184166675958
2250,7fa11af3-30d6-4f26-9742-7f39068d94c8,14903,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,SSG Quarters,4.54885999958935,7.79101166715475
2251,0e148b79-f8d0-46a0-b1ff-6fff914cd9d3,14904,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Chief Of Staff Quaters,4.5482633326867,7.79093833283781
2252,b11db614-2e31-43e5-8cbf-9dfe36383075,14905,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Justice House Quarters,4.54649833313164,7.79133333306692
2253,6c9af1fb-6063-4c4b-8b75-af0921ca3528,14906,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Chief Security House Quarters,4.54647500022111,7.79143166673811
2254,33450f6a-0411-4d80-8b11-da6b9f742d22,14907,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,GRA 01 Building,4.54624500040649,7.78975000016243
2255,e3a74bd0-3cf2-4877-a2d0-1a6a2132f57d,14908,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Gidigbo 3,OSSIWO03,Iwo,30023,Osun,OS,Federal Government, ,GRID,Nigeria Security And Civil Defence Corps,4.16392833282634,7.63599833285684
2256,546df212-274a-4ba0-8797-2824903d11c9,14909,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Sports,4.54456166738709,7.78952833256653
2257,45c33a0f-d0c0-47d8-acf8-d6ac6716312a,14910,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iperin,OSSILA03,Ila,30017,Osun,OS,Federal Government, ,GRID,Police College Ila,4.95377000038525,8.02738166673061
2258,4bfeba35-a6fa-4ca8-9d28-acd78ac215d1,14912,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Aragan,OSSIEW02,Ilesha West,30019,Osun,OS,Local Government, ,GRID,Manr Dept Of Produce Service Zonal Office Ilesha,4.74136333335122,7.62529166737659
2259,00945771-3fd3-4b4a-b8b4-5333d2cfa703,14913,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Aragan,OSSIEW02,Ilesha West,30019,Osun,OS,State Government, ,GRID,Internal Revenue Sevice Ilesha,4.7410316669779,7.62541500040197
2260,44d3f0f2-8369-47c1-a098-fe27f20ae264,14914,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Finance Department,4.18525166683099,7.36117333338268
2261,b5f6577a-85ab-49bd-b6a1-32f19653e403,14915,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Chief Magistrate Court,4.18555500006323,7.36128000017192
2262,c44618d5-2529-41c3-b6d4-e10d741065d8,14916,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,NEPA Office,4.18477500006622,7.36065500012819
2263,5f92fd7b-b87c-4213-a858-ceffbd6db6d0,14918,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Ministry Of Education Office,4.18485500015817,7.35941166671512
2264,23eac229-effa-4629-8b90-8c9294a77958,14919,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Immigration Office,4.18558666699113,7.35929999969528
2265,0442aae0-ab24-46af-bdb9-583ddcced8f4,14920,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Education Authority,4.18558666699113,7.35954333285855
2266,9ac367ce-9d7c-4e03-b680-90ba6d3d6245,14921,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Forestry,4.18505666683177,7.35944500008674
2267,ac09c007-f193-4f3d-8bd9-33b18ee6aed8,14922,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Moringbere,OSSIRE06,Irewole,30021,Osun,OS,State Government, ,GRID,Osun West Education District Office,4.18525166683099,7.36005833322554
