FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,plc_st_nam,x,y
453,5a161e7a-79b1-42c2-93e0-85ce03985279,2687,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ajere,CRSGEP03,Yakurr,9017,Cross River,CR,GRID,Police Station Egana,8.12263670042341,5.86984170013443
454,6e486018-b490-4023-9dd0-13785564c2ba,2685,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Creek Town 1,CRSDUK03,Odukpani,9015,Cross River,CR,GRID,Nigeria Police Station Creek Town Odukpani LGA,8.27439170011689,4.99358500004774
455,35306abc-e796-419e-9cef-aab625f1a910,2684,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abo,CRSBJE05,Boki,9007,Cross River,CR,GRID,Polic Station,9.02207419966464,6.16063840014209
456,d8b58730-4f1b-4f4c-9322-a8c2ed98d9e1,2682,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Eneyo,CRSKTA09,Akpabuyo,9003,Cross River,CR,GRID,Ikot Ekpo Edem Police Station,8.56781830017445,4.94680829986322
457,a69f0239-3a23-4037-ab64-9a1e5687141e,2681,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obubra Urban,CRSBRA03,Obubra,9013,Cross River,CR,GRID,Obubra Police Station,8.33763666689873,6.06683833282284
458,c4e21293-6719-45b6-9e75-b69dc694dfe7,2680,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Yache,CRSCKK02,Yala,9018,Cross River,CR,GRID,Alifokpa Police Station,8.8069817001454,6.8362133003036
459,dd9aa715-0a05-426f-91c9-c6dd26796980,2678,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alankwu,CRSBJE06,Boki,9007,Cross River,CR,GRID,Beteriko Police Station,9.14525339962472,6.48380860018682
460,72c8c697-25b4-4d2c-b1c7-e5b6f51868b5,2676,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oban,CRSKAM02,Akamkpa,9002,Cross River,CR,GRID,Jb Farm Police Post,8.60725330029959,5.35565329956017
461,a5a6ba4e-6422-484c-a048-60d4c34a95c4,2675,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oban,CRSKAM02,Akamkpa,9002,Cross River,CR,GRID,Oban Police Station,8.59568170015041,5.33143999955638
462,fc3342bb-6ae4-41db-8c89-148535a626a5,2674,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odukpani,CRSDUK06,Odukpani,9015,Cross River,CR,GRID,Police Training School,8.34829669983287,5.1472982995769
463,3cb39135-67eb-40d4-96bb-76f1acea3a3d,2673,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekim-Effraya,CRSEFE06,Etung,9010,Cross River,CR,GRID,Divisional Police Headquarters Effraya Stung Lga,8.78747833315862,5.90506833263748
464,6e86bbee-7b87-4d30-aa56-f3eecee48ec7,2672,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idundu-Anyaganse,CRSKTA10,Akpabuyo,9003,Cross River,CR,GRID,Nigerian Police Rifle Range Squad Station Asabanka,8.41905333314486,5.05427833297875
465,e55037f6-91ee-4269-9887-ad9ac8412563,2671,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idundu-Anyaganse,CRSKTA10,Akpabuyo,9003,Cross River,CR,GRID,Nigerian Police Force Asabanka,8.42465666707159,5.05521000004154
466,e407716b-a86e-4076-8511-d7c8a7e1d2d5,2670,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ugaga,CRSCKK04,Yala,9018,Cross River,CR,GRID,Igbekurikor Police Station,8.72558170013542,6.67610330022717
467,fc7591f0-8c82-4dc2-ba98-6d331529fb06,2669,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mkpani / Agoi,CRSGEP13,Yakurr,9017,Cross River,CR,GRID,Ayoyoa Police Post,8.17194999959287,5.72413500003029
468,31a1c91b-fe77-465a-8e73-688442502b38,2668,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mkpani / Agoi,CRSGEP13,Yakurr,9017,Cross River,CR,GRID,Police Post,8.17210329982748,5.72420170004847
469,144c56b5-3199-4fb8-abe3-fb0a1aa73124,2667,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikpai,CRSKAM07,Akamkpa,9002,Cross River,CR,GRID,Ekang Police Station,8.84139009977332,5.67554920023542
470,88845b19-2e1d-4f8d-a083-64c4ce258988,2666,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ogep,CRSBJE04,Boki,9007,Cross River,CR,GRID,Nigerian Police Barack Okundi,8.79660329980248,6.43597170003397
471,71a9324a-50cd-4dbb-a620-b19e271af9bf,2665,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abayom,CRSKMM10,Ikom,9011,Cross River,CR,GRID,Edor Police Station,8.63338330019917,6.20168380006737
472,b8cc13fa-c363-48ae-96ee-d178bce7db03,2664,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kakwagom,CRSBJE01,Boki,9007,Cross River,CR,GRID,Kakwagom Police Station,8.81124610002752,6.49208959985521
473,dbeb2d00-5406-4069-937e-5ea528b17325,2663,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Utugwang South,CRSUDU05,Obudu,9014,Cross River,CR,GRID,Police Station,9.02705000015743,6.6477000003548
474,df7acb12-8ae4-47a5-8493-f4e556964690,2662,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Wanihem,CRSCKK07,Yala,9018,Cross River,CR,GRID,Wahinem Police Post,8.45295333342966,6.72371999957835
475,0bec08ff-56b4-47d2-9d45-7dcaf1bd5d85,2659,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Bunyia,CRSBJE08,Boki,9007,Cross River,CR,GRID,The Nigerian Police Okubuchi Irruan,8.98148060024954,6.47275360029846
476,c6993dbf-0ee9-43fc-83e5-0c43a669b5e7,2658,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekajuk 1,CRSGGJ09,Ogoja,9016,Cross River,CR,GRID,Nfom Police Post,8.55636000021389,6.50019666704259
477,9ceae67c-4a66-4a4d-9cb2-757cad9d8d90,2657,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Becheve,CRSBNS03,Obanliku,9012,Cross River,CR,GRID,Cattle Ranch Police Post,9.37812999979968,6.37509830034634
